system,equipment,tagname,anomaly_count,h1_alarm_count,l1_alarm_count
FEEDWATER SYSTEM #1,HP HEATER NO.3 #1,OPC.AW1002.1QAI.AI211403.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1QAI.AI211405.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1QAI.AI211407.PNT,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.5 #1,OPC.AW1002.1QAI.AI211503.PNT,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.6 #1,OPC.AW1002.1QAI.AI211505.PNT,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.2 #1,OPC.AW1002.1QAI.AI211703.PNT,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.1 #1,OPC.AW1002.1QAI.AI211704.PNT,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.3 #1,OPC.AW1002.1QAI.AI211705.PNT,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.6 #1,OPC.AW1002.1QAI.AI211706.PNT,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.8 #1,OPC.AW1002.1QAI.AI211707.PNT,9.0,36,0
AUXILIARY STEAM SYSTEM #1,AUXILIARY STEAM #1,OPC.AW1002.1QAI.AI212101.PNT,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.3 #1,OPC.AW1002.1QAI.AI212102.PNT,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.1 #1,OPC.AW1002.1QAI.AI212103.PNT,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.2 #1,OPC.AW1002.1QAI.AI212104.PNT,0.0,36,0
CONDENSATE SYSTEM #1,LP HEATER NO.5 #1,OPC.AW1002.1QAI.AI212105.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1B,OPC.AW1002.1QAI.AI212107.PNT,0.0,36,0
AUXILIARY STEAM SYSTEM #1,TURBINE PROPER AUXILIARY STEAM #1,OPC.AW1002.1QAI.AI212201.PNT,0.0,36,0
FEEDWATER SYSTEM #1,T-BFP #1A,OPC.AW1002.1QAI.AI212204.PNT,0.0,36,0
TURBINE VALVE #1,IP TURBINE #1 - REHEAT COMBINE VALVE NO.1 (RCV1-ICV1),OPC.AW1002.1QAI.AI212302.PNT,0.0,36,0
TURBINE #1,IP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI212303.PNT,0.0,36,0
FEEDWATER SYSTEM #1,HP HEATER NO.1 #1,OPC.AW1002.1QAI.AI212304.PNT,0.0,36,0
TURBINE #1,HP TURBINE SYSTEM #1,OPC.AW1002.1QAI.AI212401.PNT,0.0,36,0
TURBINE VALVE #1,IP TURBINE #1 - REHEAT COMBINE VALVE NO.2 (RCV2-ICV2),OPC.AW1002.1QAI.AI212402.PNT,0.0,36,0
