system,equipment,tagname,anomaly_count,h1_alarm_count,l1_alarm_count
#1 CONDENSATE WATER SYSTEM,#1 GLAND STEAM CONDENSER,KALTIM1.SIGNAL.AI.10MAW10CP101,0.0,0,12
#1 TURBINE SYSTEM,#1 GLAND SEAL SYSTEM,KALTIM1.SIGNAL.AI.10MAW31CP101,0.0,12,0
#1 TURBINE SYSTEM,#1 GLAND SEAL SYSTEM,KALTIM1.SIGNAL.AI.10MAW33CP101,0.0,12,0
#1 TURBINE SYSTEM,#1 GLAND SEAL SYSTEM,KALTIM1.SIGNAL.AI.10MAW35AA101XQ12,0.0,12,0
#1 ELECTRO HYDROLIC SYSTEM,#1 EH MAIN OIL PUMP A,KALTIM1.SIGNAL.AI.10MAX20CP101,0.0,0,12
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE001,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE002,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE003,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE004,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE005,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE006,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE007,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKA01CE008,0.0,12,0
#1 GENERATOR SYSTEM,#1 GENERATOR,KALTIM1.SIGNAL.AI.10MKC01CE002,0.0,12,0
#1 EXCITATION SYSTEM,#1 TRANSFORMER EXCITATION,KALTIM1.SIGNAL.AI.10MKT01CE001,0.0,12,0
#1 EXCITATION SYSTEM,#1 TRANSFORMER EXCITATION,KALTIM1.SIGNAL.AI.10MKT01CE002,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10PAB30AA101XQ12,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10PAB30CP101,0.0,0,12
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10PAB31AA101XQ12,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10PAB31CP101,0.0,0,12
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10PAB40CP101,0.0,12,0
#1 TURBINE SYSTEM,#1 CONDENSOR,KALTIM1.SIGNAL.AI.10PAB41CP101,0.0,12,0
#1 CCCW SYSTEM,#1 HE CCCW A,KALTIM1.SIGNAL.AI.10PCB10CP101,0.0,12,0
#1 CCCW SYSTEM,#1 HE VACUM PUMP B,KALTIM1.SIGNAL.AI.10PCB30CP102,0.0,0,12
#1 CCCW SYSTEM,#1 EXPANSION TANK,KALTIM1.SIGNAL.AI.10PGB20AA101XQ12,0.0,12,0
#1 CCCW SYSTEM,#1 CCCW PUMP A,KALTIM1.SIGNAL.AI.10PGB32CP101,0.0,12,0
